gene_id,gene_symbol,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
GENE00001,G1,7.57,7.083,7.404,7.501,7.37,6.957,7.402,7.917,7.489,7.376,7.93,7.209
GENE00002,G2,6.4,6.889,6.603,6.982,6.695,6.643,7.448,7.284,7.198,6.988,6.854,7.153
GENE00003,G3,9.924,10.153,10.546,10.024,10.169,10.172,9.671,10.512,10.232,10.076,10.898,10.539
GENE00004,G4,6.987,6.51,6.967,6.332,7.305,6.26,7.212,6.636,6.117,6.662,6.439,6.522
GENE00005,G5,6.773,6.803,7.371,7.029,6.841,6.317,7.045,7.565,6.818,6.948,6.48,7.15
GENE00006,G6,9.272,9.744,9.625,9.568,9.804,9.655,9.427,9.827,9.685,9.131,9.32,9.85
GENE00007,G7,6.803,5.721,7.536,7.047,7.149,7.042,7.232,6.762,6.948,6.398,7.492,7.111
GENE00008,G8,5.469,6.098,5.565,5.912,6.054,6.371,5.662,5.952,6.109,6.246,6.23,6.237
GENE00009,G9,8.778,8.928,8.599,8.886,8.115,8.991,8.957,9.087,8.817,8.518,8.808,9.467
GENE00010,G10,8.104,7.414,7.984,7.654,7.714,7.788,8.523,7.885,7.97,8.16,8.19,8.056
GENE00011,G11,8.579,8.332,7.994,7.676,8.312,8.382,8.433,7.926,7.772,7.407,8.042,7.714
GENE00012,G12,7.866,7.366,6.941,8.135,6.94,6.902,7.067,7.73,7.761,7.425,7.684,7.37
GENE00013,G13,6.82,6.455,6.782,6.397,6.696,6.099,8.689,8.619,8.122,8.306,8.742,9.017
GENE00014,G14,5.025,5.654,4.843,4.867,4.559,5.084,3.564,3.203,3.718,3.242,3.828,3.399
GENE00015,G15,9.787,9.309,10.222,9.883,8.976,9.63,9.938,10.461,9.714,10.007,9.596,10.134
GENE00016,G16,6.582,7.076,7.161,7.035,7.383,6.693,7.42,7.087,6.873,6.874,6.761,6.987
GENE00017,G17,8.248,8.616,7.882,7.813,8.058,7.632,8.341,7.822,7.437,8.123,8.338,8.285
GENE00018,G18,8.91,8.645,8.722,8.664,8.726,8.721,8.759,7.758,8.228,8.012,8.719,8.658
GENE00019,G19,7.26,6.813,7.625,6.702,7.328,7.366,7.408,7.496,7.539,7.127,6.873,7.005
GENE00020,G20,5.545,5.045,5.071,5.574,5.414,5.616,5.551,5.874,5.632,5.429,5.283,5.676
GENE00021,G21,4.584,4.391,4.702,4.483,4.702,4.545,4.877,4.393,4.596,4.991,4.666,5.45
GENE00022,G22,9.873,10.555,9.918,10.173,10.506,10.914,10.885,9.902,10.396,10.474,10.65,10.852
GENE00023,G23,7.311,7.268,6.98,7.717,7.867,7.14,6.156,6.184,6.346,6.463,5.897,6.302
GENE00024,G24,6.261,6.216,5.921,6.698,6.572,5.98,5.978,6.22,6.561,6.266,6.257,6.238
GENE00025,G25,7.992,8.635,9.011,7.841,8.118,7.99,7.959,8.067,8.697,7.836,8.026,7.843
GENE00026,G26,6.566,6.928,6.359,7.047,7.085,6.906,6.776,6.967,7.155,6.452,6.413,6.549
GENE00027,G27,6.873,7.761,6.818,7.141,7.211,7.493,7.333,8.099,7.522,7.813,8.103,7.027
GENE00028,G28,7.55,8.489,7.72,7.364,7.989,7.471,6.079,4.99,5.918,5.631,5.878,5.651
GENE00029,G29,7.842,6.921,7.714,7.267,6.938,7.775,7.723,7.454,7.346,7.414,7.173,7.826
GENE00030,G30,7.837,7.223,7.919,7.956,7.486,7.476,7.826,8.3,7.503,7.602,7.603,7.31
GENE00031,G31,8.698,8.759,8.561,8.13,9.107,9.791,8.524,8.977,8.378,9.297,9.332,8.847
GENE00032,G32,8.735,9.227,8.928,8.739,8.31,8.285,9.375,10.85,10.296,10.372,10.815,10.616
GENE00033,G33,9.708,10.028,8.937,9.526,9.723,9.705,9.549,9.531,9.839,9.396,9.947,9.46
GENE00034,G34,6.511,5.856,6.075,6.18,5.615,6.157,6.249,5.834,6.22,5.838,6.356,6.198
GENE00035,G35,6.593,5.994,6.324,6.779,6.777,6.452,6.032,6.412,6.684,6.632,6.439,6.227
GENE00036,G36,7.774,8.507,8.193,7.99,7.95,7.429,10.091,10.345,10.34,9.78,9.775,9.931
GENE00037,G37,8.518,8.415,8.295,8.708,8.343,8.507,9.899,8.755,9.642,9.612,9.278,9.838
GENE00038,G38,9.213,8.644,9.506,8.703,8.641,9.072,8.564,9.064,8.323,9.406,8.73,8.799
GENE00039,G39,7.706,7.861,7.193,7.117,7.449,7.423,7.314,7.671,6.985,8.162,7.591,7.821
GENE00040,G40,8.466,8.822,9.014,8.561,8.158,8.626,8.656,7.921,8.962,7.901,8.407,8.557
GENE00041,G41,6.65,6.398,6.95,6.78,6.924,6.905,6.842,6.916,6.524,6.074,6.694,6.523
GENE00042,G42,6.577,6.024,5.845,6.694,5.904,6.411,6.324,6.121,6.376,5.99,6.088,6.273
GENE00043,G43,5.866,5.715,6.259,5.694,6.408,6.445,6.11,6.465,6.071,5.922,5.19,5.845
GENE00044,G44,5.921,6.643,7.142,6.658,6.668,6.807,6.769,6.541,6.574,6.305,7.615,6.536
GENE00045,G45,5.944,6.434,6.34,6.607,6.199,6.746,6.185,6.761,5.725,5.958,6.215,6.427
GENE00046,G46,7.329,7.086,7.065,6.641,7.666,7.529,7.158,7.695,7.694,7.41,7.726,7.47
GENE00047,G47,7.438,7.383,7.774,7.557,7.609,7.852,7.776,7.357,8.058,7.718,7.806,7.78
GENE00048,G48,8.249,8.57,8.288,8.709,8.815,8.214,8.293,8.511,8.149,8.599,8.502,8.237
GENE00049,G49,9.851,9.645,9.305,8.858,8.688,9.202,7.901,7.706,8.612,7.754,8.473,7.451
GENE00050,G50,7.425,8.045,6.752,7.486,7.706,7.731,6.099,5.852,4.962,5.531,6.257,5.705
GENE00051,G51,9.838,10.434,10.307,9.518,9.3,9.952,9.297,9.64,9.361,10.374,10.189,10.119
GENE00052,G52,5.676,5.767,6.381,6.289,6.32,5.583,6.066,5.626,5.608,5.721,6.491,5.743
GENE00053,G53,7.931,8.131,7.753,7.737,7.26,7.959,8.122,7.75,7.818,7.878,8.382,8.125
GENE00054,G54,8.849,8.784,8.485,9.186,8.395,8.769,8.684,8.946,8.564,8.656,8.823,8.628
GENE00055,G55,6.463,5.997,6.328,6.414,6.363,5.364,5.998,6.091,6.685,6.767,6.708,6.169
GENE00056,G56,8.21,8.954,8.536,8.32,9.057,9.207,8.413,8.642,8.525,7.737,8.674,8.035
GENE00057,G57,9.629,9.839,10.213,9.745,9.641,9.675,8.778,7.218,8.609,8.585,8.061,8.74
GENE00058,G58,10.568,9.691,10.231,10.187,10.204,9.531,10.094,10.314,10.036,10.28,10.26,10.106
GENE00059,G59,6.472,7.029,7.239,7.354,7.337,6.555,4.919,4.246,4.715,5.19,4.424,4.432
GENE00060,G60,7.869,7.791,8.484,7.379,8.129,8.559,7.978,8.769,8.783,8.078,8.56,8.816
GENE00061,G61,9.624,8.954,8.96,9.124,8.833,8.816,8.813,9.03,9.64,9.036,8.664,9.364
GENE00062,G62,10.518,10.87,10.368,10.747,10.469,10.638,10.171,10.833,10.998,10.439,10.434,11.074
GENE00063,G63,4.571,6.491,5.911,5.763,5.562,6.053,3.184,3.091,3.354,3.13,3.114,2.844
GENE00064,G64,8.2,7.819,8.222,8.317,8.548,8.595,8.639,8.219,8.831,8.882,8.724,7.907
GENE00065,G65,6.466,5.458,6.136,6.444,6.261,6.253,6.009,6.324,6.564,6.437,6.388,6.207
GENE00066,G66,6.665,7.091,6.795,7.019,6.471,6.953,6.649,7.375,6.933,6.987,6.972,6.961
GENE00067,G67,8.285,8.17,7.803,7.136,8.554,8.135,8.105,8.447,7.814,7.034,7.602,7.577
GENE00068,G68,8.744,8.774,8.196,8.85,8.65,8.955,8.453,8.375,8.722,8.589,8.231,8.007
GENE00069,G69,12.121,12.548,12.371,12.377,12.005,12.381,11.867,12.768,11.67,12.003,12.294,12.659
GENE00070,G70,7.315,7.847,6.781,7.826,7.602,7.815,8.026,7.464,7.751,7.211,7.362,7.922
GENE00071,G71,9.496,9.496,9.36,10.19,9.495,9.552,9.988,9.947,10.786,9.152,9.585,10.018
GENE00072,G72,6.752,6.435,7.244,6.969,6.678,6.945,6.675,6.458,7.063,6.971,7.037,6.182
GENE00073,G73,7.082,7.623,7.651,7.213,7.183,7.415,7.95,7.728,7.983,8.029,7.186,7.196
GENE00074,G74,9.159,9.41,8.942,9.44,8.475,8.94,9.575,9.541,9.07,9.551,8.98,9.008
GENE00075,G75,7.368,6.964,6.649,7.108,7.666,7.348,7.374,7.221,7.245,7.559,7.756,6.337
GENE00076,G76,9.692,9.738,10.234,9.211,9.795,9.069,9.541,9.01,9.607,9.65,9.549,9.733
GENE00077,G77,7.091,6.938,7.479,6.594,7.201,7.628,7.437,6.781,7.121,7.052,7.412,7.326
