sample_id,condition,batch,replicate,measurement,unit
S01,Control,B1,1,6.371,AU
S02,Control,B1,2,9.809,AU
S03,Control,B1,3,11.333,AU
S04,Control,B1,4,12.047,AU
S05,Control,B1,5,10.779,AU
S06,Control,B1,6,7.958,AU
S07,Control,B2,1,9.917,AU
S08,Control,B2,2,10.574,AU
S09,Control,B2,3,10.342,AU
S10,Control,B2,4,10.469,AU
S11,Control,B2,5,9.25,AU
S12,Control,B2,6,9.533,AU
S13,Treatment A,B1,1,10.777,AU
S14,Treatment A,B1,2,15.172,AU
S15,Treatment A,B1,3,13.033,AU
S16,Treatment A,B1,4,14.436,AU
S17,Treatment A,B1,5,14.016,AU
S18,Treatment A,B1,6,13.263,AU
S19,Treatment A,B2,1,13.31,AU
S20,Treatment A,B2,2,14.403,AU
S21,Treatment A,B2,3,13.498,AU
S22,Treatment A,B2,4,13.555,AU
S23,Treatment A,B2,5,14.152,AU
S24,Treatment A,B2,6,15.247,AU
S25,Treatment B,B1,1,12.794,AU
S26,Treatment B,B1,2,11.775,AU
S27,Treatment B,B1,3,12.594,AU
S28,Treatment B,B1,4,11.747,AU
S29,Treatment B,B1,5,9.434,AU
S30,Treatment B,B1,6,11.421,AU
S31,Treatment B,B2,1,9.597,AU
S32,Treatment B,B2,2,14.689,AU
S33,Treatment B,B2,3,14.243,AU
S34,Treatment B,B2,4,14.692,AU
S35,Treatment B,B2,5,11.136,AU
S36,Treatment B,B2,6,13.011,AU
