sample,gene,alteration
T01,TP53,Missense
T01,EGFR,Missense
T02,TP53,Truncating
T03,PIK3CA,Truncating
T03,EGFR,Missense
T03,BRAF,Truncating
T05,TP53,Truncating
T06,TP53,Truncating
T06,KRAS,Missense
T06,EGFR,Missense
T07,TP53,Missense
T08,PIK3CA,Missense
T10,PIK3CA,Missense
T10,EGFR,Missense
T12,TP53,Truncating
T12,EGFR,Truncating
T13,TP53,Amplification
T13,BRAF,Truncating
T13,PTEN,Missense
T14,TP53,Truncating
T14,EGFR,Missense
T14,PTEN,Missense
T15,TP53,Truncating
T15,KRAS,Amplification
T15,BRAF,Truncating
T16,PIK3CA,Deletion
T17,TP53,Truncating
T18,TP53,Truncating
T18,KRAS,Truncating
T19,PTEN,Missense
T20,TP53,Missense
T20,KRAS,Missense
T21,PTEN,Missense
T22,TP53,Missense
T22,KRAS,Missense
T22,PIK3CA,Missense
T22,BRAF,Missense
T23,TP53,Amplification
T26,TP53,Missense
T26,MYC,Amplification
T27,TP53,Truncating
T27,KRAS,Truncating
T27,EGFR,Missense
T27,APC,Missense
T28,KRAS,Missense
T28,PTEN,Truncating
T29,TP53,Missense
T29,KRAS,Truncating
T30,TP53,Truncating
T30,KRAS,Missense
T30,EGFR,Deletion
T30,BRAF,Missense
