source,target,weight,interaction_type
N8,N15,0.56,activation
N5,N4,0.66,binding
N12,N11,0.52,activation
N10,N12,0.81,activation
N6,N4,0.22,binding
N12,N13,0.25,activation
N7,N2,0.8,binding
N3,N2,0.44,activation
N9,N2,0.28,binding
N7,N9,0.44,inhibition
N2,N5,0.75,binding
N4,N8,0.52,activation
N3,N12,0.77,inhibition
N5,N12,0.73,binding
N14,N13,0.4,activation
N3,N11,0.96,binding
N4,N13,0.28,activation
N1,N2,0.23,inhibition
N10,N13,0.96,inhibition
N6,N3,0.33,activation
N12,N8,0.68,inhibition
N10,N15,0.45,inhibition
N1,N13,0.9,binding
N10,N9,0.52,activation
N14,N15,0.23,activation
N13,N8,0.61,activation
N1,N4,0.57,binding
N10,N4,0.33,inhibition
N3,N10,0.38,binding
N1,N5,0.86,binding
N3,N1,0.91,inhibition
N11,N4,0.97,binding
