sample_id,treatment,dose_um,replicate,response,viability_pct,batch
W001,Vehicle,0.1,1,4.332,96.6,B1
W002,Vehicle,0.1,2,4.789,94.2,B1
W003,Vehicle,0.1,3,4.33,93.8,B2
W004,Vehicle,0.1,4,3.172,93.4,B2
W005,Vehicle,0.3,1,4.191,95.9,B1
W006,Vehicle,0.3,2,5.707,94.5,B1
W007,Vehicle,0.3,3,4.977,90.0,B2
W008,Vehicle,0.3,4,5.261,97.3,B2
W009,Vehicle,1.0,1,4.411,98.8,B1
W010,Vehicle,1.0,2,4.39,97.0,B1
W011,Vehicle,1.0,3,4.857,95.2,B2
W012,Vehicle,1.0,4,5.138,96.1,B2
W013,Vehicle,3.0,1,5.356,94.8,B1
W014,Vehicle,3.0,2,4.398,98.3,B1
W015,Vehicle,3.0,3,4.361,92.2,B2
W016,Vehicle,3.0,4,4.941,91.8,B2
W017,Vehicle,10.0,1,5.444,96.8,B1
W018,Vehicle,10.0,2,4.798,97.0,B1
W019,Vehicle,10.0,3,5.422,91.3,B2
W020,Vehicle,10.0,4,6.07,86.9,B2
W021,Compound X,0.1,1,5.508,98.5,B1
W022,Compound X,0.1,2,5.032,100.0,B1
W023,Compound X,0.1,3,4.763,100.0,B2
W024,Compound X,0.1,4,5.066,98.3,B2
W025,Compound X,0.3,1,5.281,100.0,B1
W026,Compound X,0.3,2,5.721,98.7,B1
W027,Compound X,0.3,3,6.06,97.4,B2
W028,Compound X,0.3,4,6.547,98.2,B2
W029,Compound X,1.0,1,7.707,92.7,B1
W030,Compound X,1.0,2,7.069,95.4,B1
W031,Compound X,1.0,3,6.26,99.1,B2
W032,Compound X,1.0,4,6.922,95.7,B2
W033,Compound X,3.0,1,7.381,93.2,B1
W034,Compound X,3.0,2,8.899,94.9,B1
W035,Compound X,3.0,3,7.565,90.9,B2
W036,Compound X,3.0,4,7.909,91.2,B2
W037,Compound X,10.0,1,7.803,90.7,B1
W038,Compound X,10.0,2,8.511,89.2,B1
W039,Compound X,10.0,3,8.967,88.2,B2
W040,Compound X,10.0,4,9.858,88.3,B2
W041,Compound Y,0.1,1,6.113,96.3,B1
W042,Compound Y,0.1,2,7.261,100.0,B1
W043,Compound Y,0.1,3,6.873,97.0,B2
W044,Compound Y,0.1,4,7.142,93.3,B2
W045,Compound Y,0.3,1,6.738,94.2,B1
W046,Compound Y,0.3,2,8.592,96.2,B1
W047,Compound Y,0.3,3,8.055,95.9,B2
W048,Compound Y,0.3,4,7.966,96.5,B2
W049,Compound Y,1.0,1,7.817,90.6,B1
W050,Compound Y,1.0,2,7.733,90.9,B1
W051,Compound Y,1.0,3,9.071,91.9,B2
W052,Compound Y,1.0,4,8.413,93.9,B2
W053,Compound Y,3.0,1,9.075,86.4,B1
W054,Compound Y,3.0,2,10.185,93.5,B1
W055,Compound Y,3.0,3,8.029,89.5,B2
W056,Compound Y,3.0,4,9.558,91.9,B2
W057,Compound Y,10.0,1,9.545,89.6,B1
W058,Compound Y,10.0,2,9.187,85.7,B1
W059,Compound Y,10.0,3,10.044,84.0,B2
W060,Compound Y,10.0,4,10.163,88.1,B2
