sample,cell_line,dose_um,viability_pct,expression_a,expression_b
R01,Line 2,0.0,101.1,6.731,7.071
R02,Line 1,0.0,102.7,8.355,6.938
R03,Line 2,0.0,95.1,6.694,7.562
R04,Line 1,0.0,102.5,6.778,6.741
R05,Line 1,0.0,103.7,6.703,6.823
R06,Line 1,0.0,104.8,7.223,6.349
R07,Line 1,0.0,101.7,8.416,8.363
R08,Line 1,0.0,103.8,6.894,7.031
R09,Line 1,0.0,101.3,7.932,7.991
R10,Line 2,0.0,99.1,8.374,8.349
R11,Line 1,0.1,96.3,9.077,8.157
R12,Line 1,0.1,92.8,7.857,7.783
R13,Line 1,0.1,98.8,8.788,7.953
R14,Line 1,0.1,91.6,6.326,7.307
R15,Line 1,0.1,99.2,8.264,8.021
R16,Line 2,0.1,87.9,9.75,8.299
R17,Line 1,0.1,94.3,6.425,7.089
R18,Line 1,0.1,90.8,7.596,6.486
R19,Line 2,0.1,95.8,8.551,7.761
R20,Line 1,0.1,90.1,10.673,9.198
R21,Line 1,0.3,82.1,7.503,7.373
R22,Line 1,0.3,85.6,6.72,6.897
R23,Line 2,0.3,84.1,7.829,7.553
R24,Line 1,0.3,86.5,7.044,7.037
R25,Line 2,0.3,83.4,7.988,7.965
R26,Line 1,0.3,81.7,6.034,6.959
R27,Line 1,0.3,86.6,7.734,7.146
R28,Line 1,0.3,79.0,8.61,8.418
R29,Line 1,0.3,73.4,8.182,6.843
R30,Line 1,0.3,80.1,9.625,8.874
R31,Line 2,1.0,60.3,9.595,8.641
R32,Line 1,1.0,55.0,7.738,8.217
R33,Line 2,1.0,52.5,8.387,7.776
R34,Line 2,1.0,61.6,9.912,10.169
R35,Line 1,1.0,56.2,8.188,7.668
R36,Line 2,1.0,62.0,7.972,6.995
R37,Line 2,1.0,48.6,11.548,9.62
R38,Line 1,1.0,58.6,9.46,8.022
R39,Line 1,1.0,56.8,6.425,6.361
R40,Line 2,1.0,58.4,8.811,8.277
R41,Line 2,3.0,30.3,10.034,8.82
R42,Line 2,3.0,24.3,7.675,6.879
R43,Line 2,3.0,29.7,7.188,6.728
R44,Line 2,3.0,32.3,8.523,8.054
R45,Line 2,3.0,32.1,6.182,5.536
R46,Line 2,3.0,35.0,6.893,6.621
R47,Line 1,3.0,22.0,7.24,7.549
R48,Line 2,3.0,18.9,7.707,7.283
R49,Line 2,3.0,36.0,7.09,6.635
R50,Line 1,3.0,25.5,7.845,7.288
R51,Line 2,10.0,5.5,9.324,9.109
R52,Line 1,10.0,8.7,7.822,7.642
R53,Line 1,10.0,13.0,7.232,7.589
R54,Line 2,10.0,12.3,6.612,6.285
R55,Line 1,10.0,10.5,8.875,8.23
R56,Line 1,10.0,14.2,7.458,7.19
R57,Line 2,10.0,8.6,9.078,7.533
R58,Line 2,10.0,9.9,9.105,8.286
R59,Line 2,10.0,11.9,8.559,8.361
R60,Line 2,10.0,7.0,9.27,7.222
