feature,name,mean_expr,effect_measure,lfcSE,p_raw,p_adjusted,call,annotation
GENE00001,G1,6.81,-0.2504,0.2124,0.23843492281566414,0.41587486537615836,NS,protein_coding
GENE00002,G2,75.06,5.3,0.2814,3.945776061625315e-79,5.261034748833754e-77,Up,lncRNA
GENE00003,G3,79.25,0.0278,0.3396,0.9347572374978282,0.9720179246077937,NS,pseudogene
GENE00004,G4,282.32,0.0438,0.3801,0.9082605746694091,0.9569031515393249,NS,protein_coding
GENE00005,G5,99.68,0.061,0.2125,0.7740672799341478,0.8721147525027516,NS,protein_coding
GENE00006,G6,76.9,0.0005,0.2741,0.9985445382737949,0.9993434400569773,NS,protein_coding
GENE00007,G7,5.5,-0.7321,0.2432,0.0026100729391871193,0.013271557317900605,NS,protein_coding
GENE00008,G8,402.95,-2.1384,0.4753,6.825676677815584e-06,6.112546278640822e-05,Down,lncRNA
GENE00009,G9,115.77,1.1959,0.3432,0.0004929522514398178,0.002972576390591866,Up,protein_coding
GENE00010,G10,5853.07,-0.1148,0.4038,0.7761811313533882,0.8721147525027516,NS,pseudogene
GENE00011,G11,44.61,0.1725,0.2581,0.5039130102918477,0.6718840137224635,NS,lncRNA
GENE00012,G12,717.27,-0.7563,0.3387,0.025552273927265785,0.08242669008795414,NS,lncRNA
GENE00013,G13,6731.25,0.0099,0.4647,0.9830030994678336,0.9931843586704951,NS,protein_coding
GENE00014,G14,45.62,0.2908,0.284,0.3058618857643529,0.49200303340110385,NS,protein_coding
GENE00015,G15,227.48,1.2183,0.1509,6.827835755498148e-16,1.489709619381414e-14,Up,lncRNA
GENE00016,G16,246.76,-0.1417,0.1932,0.46329202890640764,0.6360988955236718,NS,protein_coding
GENE00017,G17,66.02,-0.0332,0.3011,0.9122012986024456,0.9577518981507384,NS,protein_coding
GENE00018,G18,531.89,0.0602,0.1955,0.7581368235759152,0.8615191176999036,NS,protein_coding
GENE00019,G19,520.57,-0.4794,0.4786,0.31650225548514843,0.501720880557699,NS,protein_coding
GENE00020,G20,9737.08,-0.0872,0.2741,0.7503847590659612,0.8567666135862546,NS,protein_coding
GENE00021,G21,16.26,0.4079,0.3105,0.18895135531638896,0.3563238250765464,NS,lncRNA
GENE00022,G22,441.26,-0.3748,0.2096,0.07374891722465343,0.1874972471813223,NS,protein_coding
