subject,condition,time_h,signal
CONT_1,Control,0,1.216
CONT_1,Control,2,1.229
CONT_1,Control,4,1.322
CONT_1,Control,8,1.637
CONT_1,Control,12,1.601
CONT_1,Control,24,1.548
CONT_2,Control,0,1.038
CONT_2,Control,2,1.341
CONT_2,Control,4,1.254
CONT_2,Control,8,1.377
CONT_2,Control,12,1.407
CONT_2,Control,24,1.453
CONT_3,Control,0,0.945
CONT_3,Control,2,1.109
CONT_3,Control,4,1.219
CONT_3,Control,8,1.404
CONT_3,Control,12,1.304
CONT_3,Control,24,1.465
CONT_4,Control,0,1.254
CONT_4,Control,2,1.372
CONT_4,Control,4,1.423
CONT_4,Control,8,1.492
CONT_4,Control,12,1.449
CONT_4,Control,24,1.706
CONT_5,Control,0,0.899
CONT_5,Control,2,1.185
CONT_5,Control,4,1.213
CONT_5,Control,8,1.326
CONT_5,Control,12,1.512
CONT_5,Control,24,1.467
STIM_1,Stimulated,0,1.183
STIM_1,Stimulated,2,1.687
STIM_1,Stimulated,4,2.012
STIM_1,Stimulated,8,2.195
STIM_1,Stimulated,12,2.622
STIM_1,Stimulated,24,2.855
STIM_2,Stimulated,0,0.539
STIM_2,Stimulated,2,1.382
STIM_2,Stimulated,4,1.468
STIM_2,Stimulated,8,1.841
STIM_2,Stimulated,12,2.094
STIM_2,Stimulated,24,2.401
STIM_3,Stimulated,0,0.706
STIM_3,Stimulated,2,1.332
STIM_3,Stimulated,4,1.634
STIM_3,Stimulated,8,1.913
STIM_3,Stimulated,12,2.127
STIM_3,Stimulated,24,2.484
STIM_4,Stimulated,0,1.078
STIM_4,Stimulated,2,1.834
STIM_4,Stimulated,4,1.969
STIM_4,Stimulated,8,2.423
STIM_4,Stimulated,12,2.364
STIM_4,Stimulated,24,2.902
STIM_5,Stimulated,0,1.088
STIM_5,Stimulated,2,1.603
STIM_5,Stimulated,4,1.823
STIM_5,Stimulated,8,2.269
STIM_5,Stimulated,12,2.316
STIM_5,Stimulated,24,2.681
