gene_id	gene_id	geneSymbol	bioType	annotationLevel	logFC	AveExpr	t	P.Value	adj.P.Val	B
0	ENSMUSG00000036052.14	Dnajb5	protein_coding	2	0.460346609499182	6.69117823288975	9.2579424670521	9.51946557863492e-07	0.0146057160372996	6.03681739344129
1	ENSMUSG00000032575.16	Manf	protein_coding	2	0.306967775502367	4.96985261164093	8.04214274966123	4.04306512800272e-06	0.0285912296074973	4.69595433666953
2	ENSMUSG00000027550.14	Lrrcc1	protein_coding	1	-0.273592211688803	4.3423831355829	-7.47455089067849	8.39145624995858e-06	0.0285912296074973	3.98335404677608
3	ENSMUSG00000044229.9	Nxpe4	protein_coding	2	-0.383551591211264	3.66815629398537	-7.4233820748217	8.97915629286238e-06	0.0285912296074973	3.82588932421873
4	ENSMUSG00000055897.13	Ppp4r1l-ps	transcribed_unprocessed_pseudogene	2	-0.262210529829766	4.00070369635603	-7.26758963074251	1.10558983412383e-05	0.0285912296074973	3.69665309773129
5	ENSMUSG00000093577.1	Gm20632	lncRNA	2	-0.687741910395455	0.664572778054884	-7.20033866233682	1.21059576085523e-05	0.0285912296074973	2.02646304957847
6	ENSMUSG00000019916.14	P4ha1	protein_coding	2	0.387808361474302	5.32649246994206	7.14531598732446	1.30442942874588e-05	0.0285912296074973	3.60526108219995
7	ENSMUSG00000037465.10	Klf10	protein_coding	2	0.559054808048131	4.74786185734716	6.75531115634898	2.23870549807983e-05	0.0391388030763397	3.08543220100811
8	ENSMUSG00000049649.8	Gpr3	protein_coding	2	0.565775883945089	2.57973145327931	6.73745617833416	2.29583020065865e-05	0.0391388030763397	2.70650253739027
9	ENSMUSG00000074264.12	Amy1	protein_coding	2	-0.363097541543056	3.64826459903613	-6.61966571502154	2.71384410567315e-05	0.0416385101133431	2.84033687662007
10	ENSMUSG00000020484.18	Xbp1	protein_coding	2	0.238843755296242	6.16162076225986	6.42027329523187	3.61722975227489e-05	0.0504537782628669	2.62804946585096
11	ENSMUSG00000026864.13	Hspa5	protein_coding	2	0.408635145484984	7.75246981407943	6.21329894241154	4.90196758808621e-05	0.0537828438731251	2.33871068575598
12	ENSMUSG00000040998.18	Npnt	protein_coding	2	0.341244030983218	4.58043290505188	6.16421579186608	5.27283567598322e-05	0.0537828438731251	2.27052780193682
13	ENSMUSG00000107655.1	Gm44220	TEC	2	-0.524634159577595	1.23863783444897	-6.15647020602659	5.33403232572114e-05	0.0537828438731251	1.47888029527629
14	ENSMUSG00000087231.7	E230016M11Rik	lncRNA	2	-0.618769911699937	1.16750461196892	-6.12873989961397	5.55938245261375e-05	0.0537828438731251	1.41310015268125
15	ENSMUSG00000030757.13	Zkscan2	protein_coding	2	-0.444199637664081	4.73786245735167	-6.12284386378022	5.60858699061462e-05	0.0537828438731251	2.21083655338354
16	ENSMUSG00000003814.8	Calr	protein_coding	2	0.286910691730561	8.08993958756488	6.0461301352468	6.29267616261799e-05	0.056793253154734	2.09952962522097
17	ENSMUSG00000030413.7	Pglyrp1	protein_coding	2	0.598139324716762	1.7785973766818	5.98976178383092	6.85151778251603e-05	0.058401576298413	1.54376018064347
18	ENSMUSG00000035671.6	Zswim4	protein_coding	2	0.201260868416838	4.38812597996894	5.93725567678551	7.41956873458001e-05	0.0595656625998592	1.94550886760902
19	ENSMUSG00000028865.14	Cd164l2	protein_coding	2	0.621804523980634	0.233363886337585	5.88811276967983	7.99660790247491e-05	0.0595656625998592	0.67240974404074
20	ENSMUSG00000004460.17	Dnajb11	protein_coding	2	0.205910037509838	5.38410111370039	5.86921283353187	8.23103427354047e-05	0.0595656625998592	1.8326150721539
21	ENSMUSG00000027660.16	Skil	protein_coding	1	0.268691733150803	6.23655780683983	5.83144432638506	8.72159143665608e-05	0.0595656625998592	1.77421307598504
22	ENSMUSG00000020601.8	Trib2	protein_coding	2	0.533892140788872	5.39861986897002	5.78517372985576	9.36515137509751e-05	0.0595656625998592	1.7078446410908
23	ENSMUSG00000072653.14	Zfp783	transcribed_unprocessed_pseudogene	2	-0.33915640217109	2.99776801447864	-5.77963357728492	9.44551386907385e-05	0.0595656625998592	1.63674243316658
24	ENSMUSG00000035621.13	Midn	protein_coding	2	0.271480025605827	5.85893248372532	5.76203469897701	9.70567402070312e-05	0.0595656625998592	1.66949398569594
25	ENSMUSG00000001119.7	Col6a1	protein_coding	2	-1.01753552950806	5.33848745064978	-5.68602118786331	0.0001091968134091	0.0633868905429784	1.56105161460024
26	ENSMUSG00000070315.12	4930581F22Rik	lncRNA	2	-0.441212901288878	2.00638967947923	-5.67235008298077	0.0001115457240865	0.0633868905429784	1.25970636724797
27	ENSMUSG00000023272.4	Creld2	protein_coding	2	0.292014087861052	3.16364915338527	5.64542681506615	0.0001163292696794	0.0637442851675835	1.47446137895079
28	ENSMUSG00000043903.4	Zfp469	protein_coding	2	-0.379272126506668	2.46566268742601	-5.56978222005535	0.0001309673452896	0.0680065897983422	1.2531037366334
29	ENSMUSG00000033720.12	Sfxn5	protein_coding	2	-0.187428303858036	7.43468594866695	-5.54987581992928	0.0001351347329074	0.0680065897983422	1.35619125678351
30	ENSMUSG00000027274.16	Mkks	protein_coding	2	0.352615383098053	3.72243821593284	5.53930282076215	0.0001374049588573	0.0680065897983422	1.35982796179333
31	ENSMUSG00000054708.17	Ankrd24	protein_coding	2	-0.260175605308441	4.93086452439618	-5.49238458044187	0.0001479764434171	0.0709500803546668	1.27057687245625
32	ENSMUSG00000060862.10	Zbtb40	protein_coding	2	0.439956503811425	3.52722990387044	5.46839477475034	0.0001537106257656	0.0714661251855303	1.24964285701801
33	ENSMUSG00000097601.2	Gm26660	lncRNA	2	-0.522205023420818	1.34300605072279	-5.38708411712198	0.0001749562234917	0.0765594071750071	0.68504189578458
34	ENSMUSG00000063065.13	Mapk3	protein_coding	2	-0.325719874751509	7.46374122244508	-5.38618556990856	0.0001752076220268	0.0765594071750071	1.10374390703208
35	ENSMUSG00000079511.8	Gm42688	protein_coding	2	-0.472322986201909	2.79356732839895	-5.37058073114465	0.0001796349252623	0.0765594071750071	1.04272099181964
36	ENSMUSG00000097729.2	2310015A10Rik	lncRNA	2	-0.327109664400755	2.1284785774722	-5.34587669361904	0.0001868867791832	0.0771435926322324	0.879982874199756
37	ENSMUSG00000037355.14	Uvssa	protein_coding	2	-0.357569097144667	3.57362691249033	-5.31792412238011	0.0001954661714435	0.0771435926322324	1.02934557530718
38	ENSMUSG00000039372.5	March4	protein_coding	2	0.214414268844393	4.68955327531396	5.30731061366048	0.0001988316782777	0.0771435926322324	0.991567902249323
39	ENSMUSG00000063889.16	Crem	protein_coding	2	0.36741692115769	3.1594733913504	5.30020989990553	0.0002011173633115	0.0771435926322324	0.982620634638068
40	ENSMUSG00000060314.13	Zfp941	protein_coding	1	-0.282474350267322	5.0944213161248	-5.28376310942697	0.0002065185581185	0.0772832740783537	0.941248493985543
41	ENSMUSG00000025981.13	Coq10b	protein_coding	2	0.236728502556605	4.21059713723419	5.26158750618892	0.0002140443803364	0.0781924506548026	0.937527362804341
42	ENSMUSG00000014496.8	Ankrd28	protein_coding	2	-0.188341124737362	6.14512071646866	-5.24696777826107	0.0002191636206711	0.0782006379524921	0.872738875499822
43	ENSMUSG00000021134.17	Srsf5	protein_coding	2	-0.2727297982471	7.38100442503372	-5.21161708006846	0.0002320825235678	0.0809282308886748	0.82872783274136
44	ENSMUSG00000074578.14	Zfas1	lncRNA	2	-0.189561420832369	4.2291538570462	-5.18365702407555	0.0002428678925073	0.081563570562672	0.815550833601546
45	ENSMUSG00000063229.15	Ldha	protein_coding	2	0.288401216259912	7.76656654770548	5.17944828286822	0.0002445365473429	0.081563570562672	0.782262133278103
46	ENSMUSG00000035790.15	Cep19	protein_coding	2	0.176343407590059	5.50435771263834	5.12401574893792	0.0002676764027821	0.0836679807273874	0.678975073148863
47	ENSMUSG00000052395.17	Rft1	protein_coding	2	-0.278206251145733	3.35231543662954	-5.12238783503379	0.0002683898359553	0.0836679807273874	0.731075502073147
48	ENSMUSG00000055862.7	Izumo4	protein_coding	2	-0.355769765575552	4.15081918261869	-5.11641591941459	0.0002710242091762	0.0836679807273874	0.713727740390607
49	ENSMUSG00000097877.2	Gm26703	lncRNA	2	-0.62543312254798	1.4405251672908	-5.106640985134	0.0002753950774952	0.0836679807273874	0.383501585560027
50	ENSMUSG00000034614.14	Pik3ip1	protein_coding	2	-0.242155095343325	5.17634092013338	-5.09068099121573	0.0002826917323715	0.0836679807273874	0.631954765630208
51	ENSMUSG00000041679.9	Lrrc29	protein_coding	2	-0.699908058900583	0.663282120168236	-5.06279052552514	0.0002959352478587	0.0836679807273874	0.0531426159879249
52	ENSMUSG00000105272.1	Gm43071	TEC	2	-0.581992750978717	-0.0419945958153437	-5.05327139025765	0.000300603361944	0.0836679807273874	-0.247434713724557
53	ENSMUSG00000028274.17	Rngtt	protein_coding	2	0.236420776174534	4.48714877823534	5.04408516921092	0.0003051816748207	0.0836679807273874	0.585223929760414
54	ENSMUSG00000025815.13	Dhtkd1	protein_coding	2	-0.416762641387368	2.66904195721552	-5.02651390783896	0.0003141444303226	0.0836679807273874	0.539385720109975
55	ENSMUSG00000078235.3	Fam43b	protein_coding	2	0.251253864544248	4.83129844755066	5.01785425109012	0.000318662937679	0.0836679807273874	0.527757454754493
56	ENSMUSG00000004366.4	Sst	protein_coding	2	0.296708573006107	6.82023817043971	5.01756157788367	0.0003188168393522	0.0836679807273874	0.511663976579529
57	ENSMUSG00000106951.1	5930430L01Rik	lncRNA	2	-0.530823272198159	1.19846990065814	-4.99543282329557	0.0003306824739493	0.0836679807273874	0.167690220152887
58	ENSMUSG00000084915.2	C230037L18Rik	lncRNA	2	-0.505948940016575	1.01021629077477	-4.95897772653267	0.0003512527479709	0.0836679807273874	0.0610289886316426
59	ENSMUSG00000033705.17	Stard9	protein_coding	2	-0.296172337874897	4.5154009491922	-4.95466446140642	0.0003537740214133	0.0836679807273874	0.440763757776888
60	ENSMUSG00000061455.13	Stx17	protein_coding	2	-0.186615696189147	4.85111005677147	-4.9531662070702	0.0003546542519618	0.0836679807273874	0.421831489880174
61	ENSMUSG00000027088.10	Phospho2	protein_coding	2	0.21286096623425	4.43433540697882	4.92813604469826	0.0003697047069673	0.0836679807273874	0.402237897371834
62	ENSMUSG00000036030.9	Prtg	protein_coding	2	-0.500507954621367	1.9624364359011	-4.92761845704655	0.0003700229150032	0.0836679807273874	0.283429200052725
63	ENSMUSG00000042429.8	Adora1	protein_coding	2	0.188057358326735	7.96179689334425	4.91991309909394	0.000374794251371	0.0836679807273874	0.368347300821863
